CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL1950100	1279073	CHEMBL1963036	1284747		25	816.99	3.14	259.08	2	Cl.Cl.NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)NCCCC[C@H](NC(=O)[C@H](CCCCN)NC(=O)OCc2ccccc2)C(=O)N[C@@H](Cc3ccccc3)C(=O)N	8029380	MIC	>	144000	nM		MIC	>	144	uM			0	BAO_0002146	UO_0000065	http://www.openphacts.org/units/Nanomolar	804851	CHEMBL1953769	F	Antibacterial activity against Klebsiella pneumoniae subsp. pneumoniae ATCC 13882 after 18 to 24 hrs by serial broth microdilution susceptibility test	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	ATCC 13882	72407	Autocuration	BAO_0000218	101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			61118	CHEMBL1949532	22230049	Bioorg. Med. Chem. Lett.	2012	22	3	1388			
CHEMBL1411862	835746	CHEMBL1411862	835746		25	364.35	2.56	113.42	0	OCCNC(=O)Nc1ccc2nc(c3occc3)c(nc2c1)c4occc4	16606292	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
CHEMBL3115921	1618905	CHEMBL3115921	1618905		20	314.72	3.15	66.13	0	[O-][N+](=O)C1=C(Cl)c2ccccc2N(Cc3ccccc3)C1=O	16606289	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
CHEMBL3735877	2050656	CHEMBL3735877	2050656		Vancomycin	1449.25				CN[C@H](CC(C)C)C(=O)N[C@@H]1[C@H](O)c2ccc(Oc3cc4cc(Oc5ccc(cc5Cl)[C@@H](O)[C@@H]6NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H](CC(=O)N)NC1=O)c7ccc(O)c(c7)c8c(O)cc(O)cc8[C@H](NC6=O)C(=O)O)c3O[C@@H]9O[C@H](CO)[C@@H](O)[C@H](O)[C@H]9O[C@H]%10C[C@](C)(N)[C@H](O)[C@H](C)O%10)c(Cl)c2	16606307	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
CHEMBL1950096	1279069	CHEMBL1962962	1284673		19	998.09	7.83	245.09	3	Cl.Cl.CCCCCCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)[C@H](CCCCN)NC(=O)OCc2ccccc2Cl)NC(=O)[C@H](CCCCN)NC(=O)OCc3ccccc3Cl	8029384	MIC	=	128000	nM		MIC	=	128	uM			0	BAO_0002146	UO_0000065	http://www.openphacts.org/units/Nanomolar	804851	CHEMBL1953769	F	Antibacterial activity against Klebsiella pneumoniae subsp. pneumoniae ATCC 13882 after 18 to 24 hrs by serial broth microdilution susceptibility test	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	ATCC 13882	72407	Autocuration	BAO_0000218	101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			61118	CHEMBL1949532	22230049	Bioorg. Med. Chem. Lett.	2012	22	3	1388			
CHEMBL1649722	1060927	CHEMBL1649722	1060927		Daptomycin	1620.67				CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@@H](C)OC(=O)[C@H](CC(=O)c4ccccc4N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCN)NC(=O)CNC3=O)[C@@H](C)CC(=O)O	16606308	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
CHEMBL3115928	1618912	CHEMBL3115928	1618912		29	417.37	2.88	132.53	0	Oc1ccc(cc1NC(=O)c2ccc3C(=O)N(Cc4ccccc4)C(=O)c3c2)[N+](=O)[O-]	16606295	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
CHEMBL3116089	1619074	CHEMBL3116089	1619074		35	327.42	3.42	122.41	0	Nc1nnc(SCC(=O)c2ccc(cc2)c3ccccc3)s1	16606300	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
CHEMBL3115911	1618894	CHEMBL3115911	1618894		5	345.39	3.9	138.38	0	Oc1ccc(cc1)N2C(=S)S\C(=C/c3ccc(O)c(O)c3)\C2=O	16606280	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
CHEMBL3116086	1619071	CHEMBL3116086	1619071		32	376.37	2.27	116.05	0	[O-][N+](=O)c1cccc(NC(=O)CC2Nc3cccc4cccc(NC2=O)c34)c1	16606297	EC50	>	100000	nM		EC50	>	100	uM				BAO_0000188	UO_0000065	http://www.openphacts.org/units/Nanomolar	1578883	CHEMBL3813406	F	Antibacterial activity against multidrug resistant Klebsiella pneumoniae subsp. pneumoniae NCTC 9633 (ATCC 13883) assessed as reduction in bacterial growth incubated for 6 to 8 hrs	1	Scientific Literature	Klebsiella pneumoniae subsp. pneumoniae	NCTC 9633 (ATCC 13883)	72407	Autocuration		101856	CHEMBL613207	ORGANISM		Klebsiella pneumoniae subsp. pneumoniae	Klebsiella pneumoniae subsp. pneumoniae	1	Non-molecular			99401	CHEMBL3808280	27184767	Bioorg. Med. Chem. Lett.	2016	26	13	3127			
