"rcdk.fp.extended_673","rcdk.fp.hybridization_512","MDEN.22","rcdk.fp.standard_398","nAtomP","MDEC.33","MLogP","rcdk.fp.hybridization_958","rcdk.fp.circular_593","SCH.5","rcdk.fp.circular_299","VCH.5","VC.5","rcdk.fp.extended_253","rcdk.fp.standard_256","rcdk.fp.hybridization_770","rcdk.fp.standard_116","VCH.7","nHBDon","C3SP2","C1SP2","rcdk.fp.extended_874","rcdk.fp.estate_35","rcdk.fp.extended_622","rcdk.fp.pubchem_696","WTPT.3","rcdk.fp.hybridization_839","rcdk.fp.standard_1016","rcdk.fp.circular_660","rcdk.fp.extended_66","VC.6","TopoPSA","rcdk.fp.extended_196","rcdk.fp.standard_286","rcdk.fp.hybridization_454","VP.4","rcdk.fp.hybridization_644","rcdk.fp.standard_728","WTPT.5","SCH.6","rcdk.fp.circular_423","SCH.7","rcdk.fp.hybridization_138","rcdk.fp.circular_714","rcdk.fp.extended_548","ATSp4","rcdk.fp.hybridization_795","rcdk.fp.pubchem_644","rcdk.fp.circular_261","rcdk.fp.circular_581","rcdk.fp.kr_3971","rcdk.fp.extended_372","rcdk.fp.extended_404","rcdk.fp.standard_902","rcdk.fp.standard_69","rcdk.fp.kr_3749","rcdk.fp.extended_572","rcdk.fp.extended_248","rcdk.fp.standard_408","MDEN.23","rcdk.fp.standard_841","C2SP2","VCH.6","MDEO.12","rcdk.fp.standard_622","rcdk.fp.kr_1438","ATSp1","SC.5","rcdk.fp.standard_782","ECCEN","rcdk.fp.standard_513","rcdk.fp.standard_14","rcdk.fp.standard_870","rcdk.fp.standard_602","rcdk.fp.extended_63","rcdk.fp.extended_814","rcdk.fp.kr_2949","rcdk.fp.kr_2673","rcdk.fp.circular_47","rcdk.fp.standard_673","rcdk.fp.standard_292","VPC.6","ATSp5","rcdk.fp.hybridization_335","rcdk.fp.circular_798","rcdk.fp.graph_469","rcdk.fp.extended_944","MDEC.23","WTPT.4","rcdk.fp.standard_748","rcdk.fp.extended_436","rcdk.fp.pubchem_260","SPC.6","VP.6","apol","rcdk.fp.maccs_43","naAromAtom","rcdk.fp.pubchem_259","VP.3","rcdk.fp.kr_161","rcdk.fp.hybridization_392","rcdk.fp.circular_886","rcdk.fp.extended_178","rcdk.fp.kr_3682","rcdk.fp.extended_258","MDEC.24","rcdk.fp.standard_910","rcdk.fp.kr_1148","ATSm1","rcdk.fp.standard_305","rcdk.fp.kr_3892","rcdk.fp.standard_793","Y"
0,0,0.5,0,15,3.53952919598311,2.01,0,0,0,0,0,0.0947138379271349,0,0,0,0,0.0393045798739499,0,1,1,0,1,0,0,27.1527043219579,0,0,0,0,0.0106977294435195,94.6,0,0,0,2.13752239997428,0,1,6.2593186451251,0.170103454359943,0,0.166250656908775,0,0,0,2580.17180176656,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8,0.0465087716847198,0.944940787421155,0,0,1548.36735182178,0.864807747754891,0,464,0,0,1,0,1,1,0,1,0,0,0,1.44521012210415,2465.08933892803,0,0,0,0,11.4025676606664,10.2700862810199,0,0,0,9.35805822343452,0.789928683872995,45.047309,0,12,0,3.29501556616744,0,0,0,0,0,0,1.5498375179357,0,0,39.4517222002947,1,0,0,"0"
1,0,0,0,9,20.6807433471938,2.01,0,0,0.0962250448649376,0,0.0684653196881458,0.327840869629962,0,0,0,0,0.477397159318791,2,1,3,0,1,1,1,25.0460108526698,0,0,0,1,0,150.26,0,1,0,5.46255244532955,0,0,3.08391049009919,0.37858520623375,0,0.726358682785994,0,0,1,4451.49555929504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.253991813444244,0.924789691832558,1,0,2196.52813277287,0.523852747632739,1,327,1,0,0,0,1,0,1,1,0,0,1,7.29166686897987,4105.91337015286,0,0,0,0,10.0063953580931,13.1512543684306,0,0,0,13.5336833612651,3.17331293777671,43.064344,0,11,0,6.43718231610486,0,1,0,0,1,0,0,0,1,47.20078146373,1,0,0,"0"
0,0,0,0,18,5.35835958387364,2.56,0,0,0,0,0,0.191242159771465,0,0,0,0,0.0703131769361849,0,2,0,0,1,0,0,17.0148372383382,0,0,0,0,0.00694010823144316,81.18,0,0,0,2.14350285162695,0,0,3.05019362671468,0.157617628171521,0,0.233500872439993,0,0,0,2502.9103500307,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0.0529083482883125,1.04004191152595,0,0,1610.78851610757,0.698620651079988,0,398,0,0,0,0,1,0,0,0,0,1,0,1.64329607976728,2034.6725259562,0,0,0,1,9.89584372918854,10.5007192884754,0,0,0,7.51203585416642,0.739335446978688,46.703481,0,6,0,3.4955448739448,0,0,0,0,0,0,0,0,0,31.5856094818903,1,0,0,"0"
0,1,0,0,12,12.3431171565464,2.78,0,0,0.117851130197758,1,0.0912870929175277,0.264421258855634,0,0,0,1,0.205505620695143,1,4,3,1,1,0,1,19.4500302674523,0,0,0,1,0,93.14,1,0,0,3.32549048485488,1,0,3.400137544105,0.236999240206161,0,0.652065286859573,1,0,0,2840.57456052813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.124878185327857,1.44004845911572,1,0,1643.22096292203,0.843972679191684,0,566,0,1,0,1,1,0,1,0,0,0,1,2.9924861738608,2340.08036554553,0,0,0,0,14.0441736530287,16.0498927233473,0,0,0,11.8726974921942,1.0813469728033,53.354653,0,10,0,5.03299736152132,0,1,0,0,0,0,0,0,1,31.0067945145222,0,0,0,"1"
1,0,0.125,0,24,11.4783901789872,3,0,0,0.157134840263677,0,0.0625,0.112796115882773,0,1,0,0,0.221958591958557,2,4,2,0,1,0,0,13.8683288028606,0,0,0,0,0,75.27,0,0,0,2.8906710369101,1,0,6.16130125192534,0.657134840263677,0,1.00439663896518,0,1,0,2659.33347683246,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,13,0.189324249182602,0,0,0,1668.51724580753,0.439643964328941,0,505,0,0,0,0,1,0,0,0,0,0,0,1.96429937688825,2177.21055024678,0,0,0,0,22.8329116580655,7.70702755093526,0,0,0,9.85762363008431,0.952603950509554,46.047516,0,12,0,3.99331601235534,0,0,0,0,1,1,0,0,0,27.0433677091758,0,0,0,"0"
0,1,0,0,13,15.9782683099188,2.89,0,0,0,0,0,0.199581912743056,0,0,0,1,0.165877741169182,2,4,3,1,1,0,0,24.8829535253166,0,0,0,1,0,136.46,1,1,0,4.12684804332654,1,0,2.99747716924278,0.149647407424182,0,0.536488731176123,1,0,0,4038.11828311337,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.056315473143163,1.90883571285124,1,0,2179.24116353107,0.70252398519343,0,690,0,1,0,0,0,0,1,0,0,0,1,4.17835308209549,3683.92366602207,0,0,0,0,13.814248015021,19.1620461519522,0,0,0,14.4516265900991,1.74682800622104,66.337411,0,10,0,6.1010063073372,0,1,0,0,1,0,1.54066956768309,0,1,42.9090165885131,0,0,0,"0"
1,0,0,0,20,13.3793577079345,3.11,0,0,0.142717450041797,0,0.0592008497187474,0.154304474500449,0,1,0,0,0.269245531515789,1,4,3,0,1,0,0,11.7637656256637,0,0,0,0,0,49.41,0,0,0,3.19738620430618,1,0,6.56289350860198,0.638975949507218,0,1.081018601859,0,1,0,3432.295582581,0,1,0,0,0,0,0,0,0,0,1,0,0,0.2,1,11,0.197448114525415,0,0,0,1808.58525503881,0.528196242391064,0,388,0,0,0,0,1,0,0,0,0,0,0,2.91050580433095,3165.88784025463,0,0,0,0,22.5372855833542,5.20087211706176,0,1,0,12.2212087021636,1.29287499065337,46.579102,0,12,0,4.1565392692527,0,0,0,0,1,1,0,0,0,25.2688986736349,0,1,0,"0"
0,0,5.03405078222385,0,11,1.98270322825009,2.01,1,0,0.235702260395516,0,0.04,0.297654783582528,0,0,1,0,0.117138513056155,0,0,2,0,0,0,0,30.4204526994308,1,0,0,0,0.0642857142857143,86.16,0,0,0,2.82341121710104,0,0,25.3902870723445,0.458058038917644,0,0.682086243811103,0,0,0,3209.68329663849,0,0,0,0,0,1,0,0,0,1,0,0,0,4.42083779836847,0,12,0.104150029909958,0,0,0,1860.13288563197,0.740175595724316,0,502,1,0,0,1,0,0,0,0,1,0,0,3.14072206461592,3231.77616356289,0,0,0,0,9.8341391370872,0,0,0,1,11.4835521389551,0.843486818558196,46.22793,0,22,1,4.17833509558607,0,1,0,0,0,0,2.10842303171375,0,0,43.3057422259094,0,0,0,"0"
0,0,0,0,19,4.64039152435013,1.9,1,0,0,0,0,0.0963838568432216,0,0,1,0,0.0968328111128443,1,0,0,0,1,0,0,21.4882107410781,1,0,0,0,0,98.31,0,0,0,2.37673204439545,1,0,9.22108337482651,0.157617628171521,0,0.231158079180137,0,0,0,2026.83184358139,0,1,0,0,0,0,0,0,1,0,0,0,0,0.516397779494322,0,12,0.0529083482883125,0,0,0,1259.97910622324,0.454530030575114,0,315,0,1,0,1,0,0,0,0,0,0,0,2.10990837804798,1729.68157685474,0,0,0,0,10.9903723864993,9.69908562501861,0,0,0,6.89960700877502,0.739968817299773,36.012344,0,12,0,3.22240130878607,0,0,0,0,0,0,0,0,0,67.4359078373086,0,0,0,"0"
0,1,0.5,0,12,3.30192724889463,1.46,0,0,0,0,0,0.106081816264245,0,0,0,0,0.0324165357992894,0,0,2,0,1,0,0,22.0266629321019,0,0,0,0,0.0101998343560351,94.6,0,0,0,1.16548913832912,0,1,6.09589568484362,0.0680413817439772,1,0.141345782681885,0,0,0,1480.91327704892,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0144337567297406,0.721124785153704,0,0,1010.80890051733,0.625462791622095,0,194,1,0,0,0,1,0,0,1,0,0,0,0.938418876624667,1180.78282623828,0,0,1,0,3.22325507758898,10.1280749345641,0,0,0,5.18704921392769,0.478298031689302,30.569137,0,6,0,2.01361988112617,0,1,0,0,0,0,0,0,0,33.6585396910155,1,0,0,"0"
